Bench Set,Name,Original Gate,Gate Reduced,AIG Time(s),Solver Time(s),Result
QF_FP,Newlib-BadKrozingenChallenge-Oversimplified,27,0,0.06,8.86,unsat
QF_FP,Newlib-BadKrozingenChallenge-Oversimplified,7,0,0.06,0.0,unsat
QF_FP,Newlib-BadKrozingenChallenge-Oversimplified,9,0,0.06,0.01,unsat
QF_FP,Newlib-BadKrozingenChallenge-Oversimplified,13,0,0.05,timeout,unknown
QF_FP,Newlib-BadKrozingenChallenge-Oversimplified,19,0,0.06,0.14,sat
QF_FP,Newlib-BadKrozingenChallenge-Oversimplified,23,0,0.06,timeout,unknown
QF_FP,Newlib-BadKrozingenChallenge-Oversimplified,5,0,0.06,0.01,unsat
QF_FP,Newlib-BadKrozingenChallenge-Oversimplified,23,0,0.06,timeout,unknown
QF_FP,Newlib-BadKrozingenChallenge-Oversimplified,33,0,0.06,timeout,unknown
QF_FP,Newlib-BadKrozingenChallenge-Oversimplified,5,0,0.06,0.0,unsat
QF_FP,Newlib-BadKrozingenChallenge-Oversimplified,19,0,0.06,timeout,unknown
QF_FP,Newlib-BadKrozingenChallenge-Oversimplified,15,0,0.06,timeout,unknown
QF_FP,Newlib-BadKrozingenChallenge-Oversimplified,37,0,0.06,timeout,unknown
QF_FP,Newlib-BadKrozingenChallenge-Oversimplified,45,0,0.06,timeout,unknown
QF_FP,Newlib-BadKrozingenChallenge-Oversimplified,13,0,0.06,2.82,sat
QF_FP,Newlib-BadKrozingenChallenge-Oversimplified,7,0,0.06,timeout,unknown
QF_FP,Newlib-BadKrozingenChallenge-Oversimplified,19,0,0.06,0.48,unsat
QF_FP,Newlib-BadKrozingenChallenge-Oversimplified,33,0,0.06,timeout,unknown
QF_FP,Newlib-BadKrozingenChallenge-Oversimplified,9,0,0.06,0.07,unsat
QF_FP,Newlib-BadKrozingenChallenge-Oversimplified,3,0,0.06,0.0,unsat
QF_FP,Newlib-BadKrozingenChallenge-Oversimplified,7,0,0.06,0.0,unsat
QF_FP,Newlib-BadKrozingenChallenge-Oversimplified,5,0,0.06,0.01,sat
QF_FP,Newlib-BadKrozingenChallenge-Oversimplified,3,0,0.06,0.0,unsat
QF_FP,Newlib-BadKrozingenChallenge-Oversimplified,7,0,0.06,0.01,sat
QF_FP,Newlib-BadKrozingenChallenge-Oversimplified,13,0,0.06,0.11,unsat
QF_FP,Newlib-BadKrozingenChallenge-Oversimplified,19,0,0.06,timeout,unknown
QF_FP,Newlib-BadKrozingenChallenge-Oversimplified,21,0,0.06,timeout,unknown
QF_FP,Newlib-BadKrozingenChallenge-Oversimplified,7,0,0.06,0.0,unsat
QF_FP,Newlib-BadKrozingenChallenge-Oversimplified,26,0,0.06,8.27,sat
QF_FP,Newlib-BadKrozingenChallenge-Oversimplified,9,0,0.06,timeout,unknown
QF_FP,Newlib-BadKrozingenChallenge-Oversimplified,5,0,0.06,0.01,sat
QF_FP,Newlib-BadKrozingenChallenge-Oversimplified,15,0,0.06,timeout,unknown
QF_FP,Newlib-BadKrozingenChallenge-Oversimplified,11,0,0.06,0.04,sat
QF_FP,Newlib-BadKrozingenChallenge-Oversimplified,11,0,0.06,0.07,unsat
QF_FP,Newlib-BadKrozingenChallenge-Oversimplified,45,0,0.06,6.61,sat
QF_FP,Newlib-BadKrozingenChallenge-Oversimplified,17,0,0.06,timeout,unknown
QF_FP,Newlib-BadKrozingenChallenge-Oversimplified,7,0,0.06,0.06,unsat
QF_FP,Newlib-BadKrozingenChallenge-Oversimplified,9,0,0.06,timeout,unknown
QF_FP,Newlib-BadKrozingenChallenge-Oversimplified,5,0,0.06,0.12,unsat
QF_FP,Newlib-BadKrozingenChallenge-Oversimplified,17,0,0.06,0.07,unsat
QF_FP,Newlib-BadKrozingenChallenge-Oversimplified,17,0,0.06,timeout,unknown
QF_FP,Newlib-BadKrozingenChallenge-Oversimplified,19,0,0.06,timeout,unknown
QF_FP,Newlib-BadKrozingenChallenge-Oversimplified,9,0,0.06,3.13,unsat
QF_FP,Newlib-BadKrozingenChallenge-Oversimplified,9,0,0.06,0.04,sat
QF_FP,Newlib-BadKrozingenChallenge-Oversimplified,7,0,0.06,0.0,unsat
QF_FP,Newlib-BadKrozingenChallenge-Oversimplified,9,0,0.06,0.03,unsat
QF_FP,Newlib-BadKrozingenChallenge-Oversimplified,3,0,0.06,0.01,sat
QF_FP,Newlib-BadKrozingenChallenge-Oversimplified,3,0,0.06,0.97,sat
QF_FP,Newlib-BadKrozingenChallenge-Oversimplified,3,0,0.06,3.23,sat
QF_FP,Newlib-BadKrozingenChallenge-Oversimplified,3,0,0.06,0.01,sat
QF_FP,Newlib-BadKrozingenChallenge-Oversimplified,3,0,0.06,0.06,sat
QF_FP,Newlib-BadKrozingenChallenge-Oversimplified,3,0,0.06,9.22,sat
QF_FP,Newlib-BadKrozingenChallenge-Oversimplified,3,0,0.06,0.93,sat
QF_FP,Newlib-BadKrozingenChallenge-Oversimplified,3,0,0.06,0.13,sat
QF_FP,Newlib-BadKrozingenChallenge-Oversimplified,3,0,0.06,0.06,sat
QF_FP,Newlib-BadKrozingenChallenge-Oversimplified,3,0,0.06,0.01,sat
QF_FP,Newlib-BadKrozingenChallenge-Oversimplified,3,0,0.06,0.84,sat
QF_FP,Newlib-BadKrozingenChallenge-Oversimplified,3,0,0.06,0.20,sat
QF_FP,Newlib-BadKrozingenChallenge-Oversimplified,3,0,0.06,0.01,sat
QF_FP,Newlib-BadKrozingenChallenge-Oversimplified,3,0,0.06,0.06,sat
QF_FP,Newlib-BadKrozingenChallenge-Oversimplified,3,0,0.06,0.06,sat
QF_FP,Newlib-BadKrozingenChallenge-Oversimplified,3,0,0.06,0.01,sat
QF_FP,Newlib-BadKrozingenChallenge-Oversimplified,3,0,0.06,0.01,sat
QF_FP,Newlib-BadKrozingenChallenge-Oversimplified,3,0,0.06,0.01,sat
QF_FP,Newlib-BadKrozingenChallenge-Oversimplified,3,0,0.06,0.01,sat
