bench,aig_gates,aig_gates_rw
Carpark2-ausgabe-1,358,320
Carpark2-ausgabe-2,659,583
Carpark2-ausgabe-3,960,846
Carpark2-ausgabe-4,1261,1109
Carpark2-ausgabe-5,1562,1372
Carpark2-ausgabe-6,1863,1635
Carpark2-ausgabe-7,2164,1898
Carpark2-ausgabe-8,2465,2161
Carpark2-t1-1,356,318
Carpark2-t1-2,657,581
Carpark2-t1-3,958,844
Carpark2-t1-4,1259,1107
gasburner-prop3-10,322,292
gasburner-prop3-11,354,321
gasburner-prop3-12,386,350
gasburner-prop3-13,418,379
gasburner-prop3-14,450,408
gasburner-prop3-15,482,437
gasburner-prop3-16,514,466
gasburner-prop3-17,546,495
gasburner-prop3-18,578,524
gasburner-prop3-19,610,553
gasburner-prop3-1,34,31
gasburner-prop3-20,642,582
gasburner-prop3-2,66,60
gasburner-prop3-3,98,89
gasburner-prop3-4,130,118
gasburner-prop3-5,162,147
gasburner-prop3-6,194,176
gasburner-prop3-7,226,205
gasburner-prop3-8,258,234
gasburner-prop3-9,290,263
pursuit-safety-10,1115,1085
pursuit-safety-11,1226,1193
pursuit-safety-12,1337,1301
pursuit-safety-13,1448,1409
pursuit-safety-14,1559,1517
pursuit-safety-15,1670,1625
pursuit-safety-16,1781,1733
pursuit-safety-17,1892,1841
pursuit-safety-18,2003,1949
pursuit-safety-19,2114,2057
pursuit-safety-1,116,113
pursuit-safety-20,2225,2165
pursuit-safety-2,227,221
pursuit-safety-3,338,329
pursuit-safety-4,449,437
pursuit-safety-5,560,545
pursuit-safety-6,671,653
pursuit-safety-7,782,761
pursuit-safety-8,893,869
pursuit-safety-9,1004,977
tgc_io-nosafe-1,216,196
tgc_io-nosafe-2,413,381
tgc_io-nosafe-3,610,566
tgc_io-nosafe-4,807,751
tgc_io-nosafe-5,1004,936
tgc_io-nosafe-6,1201,1121
tgc_io-nosafe-7,1398,1306
tgc_io-safe-10,1980,1852
tgc_io-safe-11,2176,2036
tgc_io-safe-12,2372,2220
tgc_io-safe-13,2568,2404
tgc_io-safe-14,2764,2588
tgc_io-safe-15,2960,2772
tgc_io-safe-16,3156,2956
tgc_io-safe-17,3352,3140
tgc_io-safe-18,3548,3324
tgc_io-safe-19,3744,3508
tgc_io-safe-1,216,196
tgc_io-safe-20,3940,3692
tgc_io-safe-2,412,380
tgc_io-safe-3,608,564
tgc_io-safe-4,804,748
tgc_io-safe-5,1000,932
tgc_io-safe-6,1196,1116
tgc_io-safe-7,1392,1300
tgc_io-safe-8,1588,1484
tgc_io-safe-9,1784,1668
windowreal-no_t_deadlock-10,2252,1864
windowreal-no_t_deadlock-11,2476,2049
windowreal-no_t_deadlock-12,2700,2234
windowreal-no_t_deadlock-13,2924,2419
windowreal-no_t_deadlock-14,3148,2604
windowreal-no_t_deadlock-15,3372,2789
windowreal-no_t_deadlock-16,3596,2974
windowreal-no_t_deadlock-17,3820,3159
windowreal-no_t_deadlock-18,4044,3344
windowreal-no_t_deadlock-19,4268,3529
windowreal-no_t_deadlock-1,236,199
windowreal-no_t_deadlock-20,4492,3714
windowreal-no_t_deadlock-2,460,384
windowreal-no_t_deadlock-3,684,569
windowreal-no_t_deadlock-4,908,754
windowreal-no_t_deadlock-5,1132,939
windowreal-no_t_deadlock-6,1356,1124
windowreal-no_t_deadlock-7,1580,1309
windowreal-no_t_deadlock-8,1804,1494
windowreal-no_t_deadlock-9,2028,1679
windowreal-safe-1,243,206
windowreal-safe2-1,238,201
windowreal-safe2-2,463,387
windowreal-safe2-3,688,573
windowreal-safe2-4,913,759
windowreal-safe-2,470,394
windowreal-safe-3,697,582
windowreal-safe-4,924,770
